txn_id,acc_from,acc_to,amount,txn_time
315,1,741,90923,174475
316,8,8857,80146,280324
317,1,9974,36436,36262
318,1,9477,1589,306123
319,11,1085,79614,249368
320,4,9435,63830,70742
321,21,5516,20036,291105
322,1,3437,47524,204075
323,4,8629,1728,156670
324,1,693,60823,107293
325,1,6188,98539,362442
326,2,8347,1857,300437
327,1,3650,75110,131709
328,5,5518,76609,329220
329,10,740,18397,344909
330,943,18,22097,323482
331,1,2411,85286,23224
332,14,1475,46370,278107
333,4,2293,43533,272937
334,1,288,61427,100250
335,22,2517,5357,119201
336,1,7210,87162,241087
337,2,8726,57251,241318
338,1,5986,14901,344094
339,1,8413,55753,140145
340,2917,8564,94587,83345
341,1,8207,68418,67705
342,21,5243,84068,272630
343,33,8427,36236,55586
344,3,2608,32073,339059
345,10,2758,56278,16321
346,8,5908,94709,287644
347,1,4587,21725,240778
348,2,7874,38344,270719
349,1,7266,25228,1305
350,1,2979,77380,112008
351,5,1417,48698,48378
352,881,8678,11840,245755
353,3,2451,38654,76904
354,40,5928,44550,295241
355,1,8991,77821,12271
356,108,2503,30877,70002
357,2,2367,28845,342761
358,2,7378,81878,263501
359,155,442,19858,89792
360,1,9392,7421,18829
361,7,7020,41466,142991
362,33,8883,82273,334372
363,2,9048,36775,244327
364,1098,9518,42332,136048
365,1,7294,55145,260257
366,1,3319,77772,275163
367,1,8924,70883,327321
368,6,7413,98166,110170
369,2,1087,46235,305758
370,1,8096,78975,30450
371,3,4957,48444,267350
372,1466,6400,21974,212330
373,18,3443,66261,138189
374,3,7263,53874,107670
375,3,2549,2215,359268
376,2,1299,19784,124674
377,3,1783,23647,60040
378,115,9874,3652,331369
379,24,1446,71721,286693
380,1,9291,84809,283127
381,3,6341,85940,51534
382,2,2193,3481,340188
383,18,116,52664,203437
384,7,9765,4804,62088
385,1,9604,17296,115053
386,2,2405,77265,290895
387,1,9065,79521,121094
388,1,8379,86869,228936
389,5,9953,59523,24233
390,1,5181,5799,220581
391,2,7541,66983,322010
392,2,8497,95631,118115
393,4770,3130,44345,185763
394,6,218,63811,231872
395,1,1664,22389,345087
396,50,3573,13127,169296
397,1,700,89306,166877
398,2,537,46856,66574
399,4,8599,62711,323941
400,4,3648,67709,143576
401,7,4591,34526,23443
402,1,8342,70438,109701
403,1,1251,40812,33498
404,1,7920,6738,341522
405,77,1678,98638,79894
406,116,5288,6452,104047
407,2,7274,14921,170027
408,4,6448,69969,315486
409,1,614,76387,334952
410,2,7379,80991,234047
411,3,2329,30425,334921
412,509,4375,46814,223532
413,2,4316,54004,248004
414,3,4808,3243,121584
415,17,6935,95110,224015
416,205,355,8703,226496
417,1,2208,80368,167405
418,2,8170,66327,347029
419,1,1951,46540,305289
420,151,5998,59377,83974
421,4,2414,86842,230258
422,1,8341,51578,293371
423,11,3415,93149,19790
424,1,1454,43441,293188
425,1,4986,84219,85815
426,4286,3716,29707,91777
427,1,6159,96520,195480
428,1,5685,82160,133321
429,3,9554,56736,203981
430,1,7645,27172,157230
431,1,6297,61728,133488
432,2,2005,45270,331450
433,3,8926,37151,340946
434,1,7980,35093,319690
435,1,1043,57928,1541
436,1,2648,21704,40330
437,2,1541,53018,295984
438,3,4697,12961,119500
439,12,4913,35843,350039
440,2,960,92437,309749
441,1,9216,26660,363854
442,2,7369,37723,13543
443,8,2105,77528,65733
444,3,4729,87090,333931
445,5109,3298,3759,79463
446,2,5700,98187,15504
447,3,9587,50394,98129
448,1,3091,54476,197716
449,2,2018,78615,197947
450,1886,6781,57083,40874
451,1,5136,97860,206652
452,70,4553,22793,16815
453,1,2098,17517,356542
454,6,3608,35215,321766
455,3,650,9486,109449
456,7,6937,72579,115715
457,44,8000,46935,323589
458,8,1537,62175,237157
459,4,5365,19625,333272
460,1,6613,15768,143838
461,1,2691,27695,128615
462,11,5742,8214,240083
463,1,6480,47251,227689
464,37,2296,49401,27550
465,1,6288,32288,256700
466,9,6220,28598,34857
467,3,5845,96347,337037
468,1,5487,46664,305476
469,10,2994,63697,359300
470,2,4305,12148,156569
471,4,432,28356,287087
472,1,2932,97381,175387
473,1,3413,35532,151283
474,88,4192,72002,209365
475,2,2959,69920,280989
476,1,14,39413,245798
477,9,3825,8665,132483
478,87,4522,49542,364777
479,1,7901,38327,304224
480,19,2439,46872,48652
481,1,9640,60030,275767
482,2,9661,41526,112018
483,1,133,37948,7322
484,3,4677,31964,231113
485,2,7135,55696,49681
486,2,849,91537,277001
487,14,8226,6764,31340
488,1,8781,62971,127512
489,1,3378,76323,44202
490,1,1064,32791,119979
491,2,8764,54075,89565
492,4,243,63686,287574
493,1,7473,12756,23770
494,4,6642,82689,274992
495,1,4935,16892,173366
496,10,867,53287,336758
497,3,38,18716,224298
498,17,3243,32033,37803
499,1,4314,23489,102853
500,1,545,6920,96829
501,1,3032,65825,226355
502,33,5491,91145,9892
503,5,2263,22047,151156
504,8,1571,37916,80428
505,1,6699,62967,19225
506,1,1236,33567,167646
507,8,9280,18569,10011
508,1,6584,55629,130993
509,1,8509,18436,67489
510,1,2239,36422,19587
511,1,5235,30423,307813
512,1,2886,6186,195265
513,1,452,12532,347737
514,8,760,9900,59702
515,10,4195,70017,160824
516,1,9436,13243,100896
517,1,2856,47661,95177
518,2,1913,28139,83008
519,1,9793,33314,175918
520,19,6746,89034,148536
521,1,3549,39883,97345
522,2,4890,39053,319508
523,2,82,22710,138260
524,3,7046,56283,101359
525,1,894,95641,305840
526,183,4056,57314,237931
527,4,7759,81934,127142
528,1,9386,72109,333959
529,4,2906,81505,247411
530,19,5837,53054,48295
531,1,2910,50286,211962
532,1,5448,73757,34780
533,1,6392,20671,193847
534,12,8371,7941,324843
535,71,6824,39341,55169
536,1,6054,28728,130660
537,2,9530,91485,194443
538,1,7235,35494,206469
539,2,5207,87415,122330
540,1,9195,76096,361445
541,6,6681,16684,332289
542,37,9447,72279,177778
543,9,2525,37964,106194
544,35,6362,64731,310584
545,1,1692,44402,248943
546,1,7499,84524,219335
547,184,8963,29440,169860
548,1,4696,53848,287588
549,1,7032,32290,350621
550,3,6766,13274,206201
551,8,2411,38802,296489
552,2,3873,80729,318987
553,9,8952,86151,40457
554,2,5808,29440,353271
555,158,1365,13305,206387
556,49,8443,85955,103146
557,6,1449,3831,128369
558,1,3412,62127,68577
559,1,7726,90589,87057
560,11,67,12507,143587
561,3,6941,63174,290399
562,55,313,72868,73368
563,2,4508,75215,109056
564,1,2007,37418,208789
565,12,9702,39040,231747
566,2,5298,84207,145737
567,21,9473,82947,86218
568,2,4859,45151,212578
569,1,3134,78362,57087
570,2,9586,77154,330621
571,51,186,28211,207310
572,17,4297,66274,348623
573,1,1800,23793,336610
574,2,6280,94190,153162
575,3,1449,81320,214958
576,2,420,53962,357527
577,42,3674,28633,172301
578,1,1818,4308,54987
579,222,1761,22258,183451
580,12,9359,3610,59554
581,2,4046,74408,315429
582,1,9587,4442,42627
583,1,3795,35675,142553
584,1,6870,63181,344348
585,14,4484,69925,52634
586,1,9230,71500,362470
587,1,1018,9327,227626
588,2,3548,4942,38752
589,3153,8920,11947,54385
590,2,4636,75805,343122
591,7,1361,3266,24936
592,23,2647,5067,78917
593,3,6836,54657,62427
594,2,8918,4323,37935
595,34,9867,5185,129210
596,1,1999,26290,135171
597,2,5393,39632,290203
598,1,2555,7854,109854
599,1,1224,55767,32183
600,6,9265,87989,50420
601,2,9695,13067,107694
602,79,6262,7702,41858
603,1,7874,12961,45304
604,13,1901,26645,70901
605,12,1602,76411,357484
606,1,266,17742,159098
607,58,71,21178,273026
608,3,1447,37923,48243
609,1,8743,60212,331351
610,1,2240,63515,39366
611,11,9955,27935,228663
612,2,8358,48301,257352
613,1,7024,24579,317298
614,1,9079,10446,19666
615,74,8181,39540,322263
616,433,6209,16006,302827
617,7416,2775,32703,336287
618,1,5708,37220,25106
619,1,3891,10801,175907
620,1,843,53866,312902
621,5,3040,50927,34829
622,2,4150,45141,176756
623,1,5295,23004,343927
624,2,5110,9838,1058
625,1,5953,37093,255097
626,7,1066,92745,244604
627,3,9785,92378,321694
628,1,8614,47041,223305
629,2,4626,66413,298956
630,898,9796,28955,30595
631,1,1737,77444,329604
632,6,5583,56714,236673
633,1,6585,27291,191691
634,1,8272,38830,76360
635,24,3019,58754,334576
636,7,7466,20456,204324
637,2,5925,53097,192392
638,1,6272,1048,249777
639,1,702,10880,154173
640,27,4497,14580,116645
641,1,6195,66748,339887
642,220,6898,23598,136670
643,1,8388,58338,53796
644,35,57,83647,215929
645,2,9823,7733,352488
646,1,1644,63683,71081
647,3,127,61829,213723
648,1,8217,94387,58365
649,1,2644,18351,120256
650,1,2427,23722,91745
651,3,4652,1727,281045
652,1,5354,20388,275781
653,1,9929,77471,312212
654,1,22,35773,48376
655,1,9081,35125,237173
656,4,1898,29908,195573
657,43,1668,92345,60535
658,116,5686,87427,15573
659,18,5152,25460,167083
660,362,7259,19087,86368
661,10,8694,77602,68814
662,84,126,57237,151660
663,1,5889,64144,291780
664,806,9811,99507,243460
665,3,479,16729,283352
666,1,1193,3111,157340
667,1,4714,93362,172716
668,1,1265,80382,174545
669,32,2069,99892,267670
670,10,1567,85956,137698
671,1,9105,53739,238097
672,1,2112,72169,19091
673,1,8355,88361,291224
674,90,3659,2959,202127
675,1,5642,65238,293206
676,4,409,88302,119194
677,2,9588,15127,350033
678,1,3636,86594,325355
679,7,7285,32845,125594
680,17,6595,78154,301838
681,1,5439,72424,169431
682,239,8078,48770,310566
683,3,342,71400,145887
684,1,11,54933,316011
685,322,9281,83576,25606
686,6,5887,20084,272537
687,4,8901,56250,7746
688,1,795,50923,173833
689,2,3942,30610,237161
690,9,6083,58203,22666
691,1,5216,18862,232868
692,2,3649,54822,348066
693,3,4897,77038,289322
694,1,5861,28830,332933
695,1,4594,25488,251088
696,7,2634,83906,321321
697,24,4846,35305,157965
698,2,8174,23639,169402
699,14,150,69666,147841
700,5,3939,97511,73840
701,52,2853,27865,158064
702,2,523,35902,41952
703,2,2065,40346,57992
704,7,5604,32323,208835
705,4,5368,70069,177229
706,1,4617,76672,15097
707,1,8176,73807,198613
708,1,4548,21567,193422
709,2,3919,99994,111619
710,1,2366,81342,177177
711,5,4770,47034,95045
712,101,1353,42226,335564
713,3,2283,68861,202834
714,1,4580,2655,73307
715,4,6428,24094,361842
716,4,1486,58016,82802
717,1,4842,20575,314698
718,1,2147,3466,158354
719,1,7603,70986,92712
720,57,5885,89719,126217
721,3,6654,50129,316735
722,1,82,51933,116021
723,1286,5816,98504,17311
724,446,1985,30229,307427
725,1,740,39593,278732
726,11,5871,995,96966
727,1,6849,12481,352020
728,3,1741,75558,125494
729,4,3468,48978,324532
730,1,9900,63861,44435
731,4,34,7620,338757
732,1,9532,84939,179093
733,2,6174,19166,96577
734,22,6170,93788,354951
735,1,8065,8388,269549
736,8,5799,78605,162060
737,1,7365,75939,325924
738,16,2337,29741,247
739,1,5639,95284,113873
740,1,3840,10859,201888
741,5,7680,61011,280219
742,10,4668,43451,197576
743,1,4718,32121,232752
744,1,1938,80602,155037
745,151,5780,25666,355300
746,4,1711,10523,351315
747,2,8175,56087,220579
748,7,5571,7657,180671
749,1,7716,84949,219200
750,1,435,75432,83950
751,3,5262,62494,287017
752,1,1216,94551,327653
753,1,2164,32232,36306
754,5,6403,62713,328238
755,3,7239,3152,202576
756,4,7829,82918,224175
757,1,4032,17759,79256
758,1,7968,16136,282671
759,1,2545,9387,72383
760,1,8468,94433,149152
761,5,6024,54275,115695
762,64,1373,10896,149982
763,23,9934,40838,100960
764,1,474,97840,128368
765,2,5516,32199,298739
766,9,9251,91343,77859
767,33,1199,27156,75079
768,1,5646,78570,345352
769,4,6228,49806,321182
770,1,7844,98955,280690
771,7,1693,64342,345564
772,3,8142,54098,179568
773,3,5585,27566,274619
774,1,1545,12893,144070
775,5,497,50835,185126
776,1,7012,51501,153531
777,1,7293,28879,193358
778,1,2368,63944,95986
779,2914,5177,45276,115662
780,288,4079,64096,191592
781,5,5145,98484,202325
782,4,6730,34103,277315
783,2,4809,77160,223274
784,1,4566,75728,150984
785,7,1972,2842,160866
786,2,2263,41275,3048
787,246,9480,16989,297525
788,2,6277,69971,175009
789,27,2343,88103,28436
790,30,2071,98395,234520
791,34,8065,23505,313146
792,150,5236,92033,11422
793,4,9574,28248,134953
794,6,4413,18152,38247
795,1,1807,39474,229160
796,31,6083,573,97542
797,1,3210,38366,258699
798,2,103,37602,180822
799,479,9294,60771,71797
800,1,8516,38183,343639
801,1,397,26688,120680
802,5,8679,17558,49078
803,1,9102,89213,75508
804,11,3164,58289,338223
805,8,2557,90888,29413
806,90,4420,41505,33571
807,7,6467,63995,209821
808,10,7296,1541,207317
809,1,3600,87937,73728
810,24,8524,55882,105100
811,1,1104,18130,79456
812,1,803,94378,354361
813,2,8248,35183,66323
814,2,4148,71191,106714
815,1,3482,55426,236643
816,5,6243,3007,267130
817,1,8852,79332,212584
818,2,1406,91399,108447
819,1,5498,83902,355037
820,1,4687,56999,314256
821,1,9213,48559,219838
822,1,852,14907,98460
823,1,6056,12266,295660
824,100,6131,6543,342405
825,400,15,10151,56771
826,50,4781,51316,57528
827,2,8694,93769,362243
828,46,984,70896,25579
829,1,8584,96174,267163
830,3,586,37466,133841
831,4,1004,36943,32211
832,1,1047,45688,212687
833,1,8339,44556,39767
834,6,5410,25026,273910
835,4,1689,35972,270036
836,5,7821,40671,240167
837,1,8286,6546,103330
838,1,197,13515,211454
839,2,5207,49996,147762
840,2,7980,59088,287790
841,1,1495,79718,19505
842,1,7580,86122,53849
843,2,9934,69091,363812
844,3,3346,63404,53913
845,2,1749,47948,270511
846,93,6952,67812,221457
847,1,9319,74880,246428
848,18,6315,57481,186777
849,3,8542,26472,348125
850,1,6781,8608,249819
851,31,5257,3682,174504
852,411,8787,27182,196569
853,1,5842,84362,282654
854,1,5698,55311,171521
855,2,2457,71491,193787
856,1,3923,32436,303302
857,5,8343,21378,148001
858,1,6557,86437,74463
859,1,7897,43929,293370
860,1,5411,70704,140344
861,96,7009,71835,254216
862,4,3409,564,106113
863,1,8445,44692,107222
864,1,7570,23432,251129
865,9,7046,77664,293694
866,15,3637,33430,166019
867,1,6079,96817,32103
868,1,2061,67877,194310
869,144,6988,13959,125071
870,1,8919,61226,99848
871,135,126,70146,295858
872,85,2050,94642,4181
873,4,3667,72820,87513
874,179,7785,61492,239013
875,77,1900,15843,262807
876,1,5228,16813,363486
877,8,8257,51110,104029
878,1,9873,8059,4520
879,2,1359,19193,38370
880,1,2320,93891,146098
881,1,4837,88492,152184
882,2,850,45718,345321
883,2,7325,61559,49250
884,9,7000,15770,355392
885,3,7779,14200,197237
886,1,9993,56952,183432
887,11,6597,59672,213239
888,1,9950,79876,357178
889,1,3843,25530,150771
890,11,264,2290,322434
891,7,2496,21166,147613
892,151,6224,89411,191119
893,1,7519,81808,105011
894,233,2987,16671,46266
895,3,4234,31966,327034
896,6,7515,2786,189712
897,6,7836,88050,127532
898,2,1869,43854,258392
899,12,9614,14981,43315
900,60,5387,4869,50428
901,1,6504,92909,79374
902,2,504,66050,17143
903,1,5713,73470,299799
904,7,4287,61437,176300
905,4,9115,26648,115688
906,1,8317,65588,108537
907,1,1463,78660,97985
908,1,9347,52812,247461
909,3,4132,50385,127123
910,425,8280,54155,332174
911,2,4648,88969,125864
912,16,376,27220,48035
913,140,8108,90791,72724
914,16,6680,55481,191296
915,1,8495,18611,162728
916,2,5458,34586,310507
917,53,8161,87794,67390
918,1,646,4507,361343
919,37,2315,2726,286316
920,2,814,11320,159486
921,5,6177,2290,167578
922,1,395,73332,177168
923,1,2347,64948,60053
924,2,3325,95635,29895
925,36,3247,30733,167913
926,50,3557,49990,313668
927,7,3290,1687,46877
928,59,932,94685,19775
929,3,8624,78013,308620
930,1,9062,58114,273176
931,1,59,40596,278762
932,362,2843,69040,337483
933,929,3779,44031,146109
934,1,8909,78662,94221
935,4,829,81480,120647
936,1,4301,92574,115672
937,4,6835,55666,46411
938,1,6841,51631,89336
939,3,406,67089,43174
940,1,2247,88393,333023
941,2,1095,45717,299934
942,1,7519,91411,134446
943,10,62,45546,115495
944,1,1447,4763,182899
945,6,3475,88388,128193
946,1,7089,65169,106328
947,4,8255,38040,73143
948,1,9577,16357,161704
949,1,6918,79483,122045
950,2,6688,96135,186636
951,5,1702,53155,254711
952,2,1611,66728,259649
953,2,2053,86272,278277
954,3,3552,53631,123831
955,2,8618,87137,349579
956,1,1439,95514,343273
957,2,2646,60279,210512
958,1,2604,24128,222883
959,2,7273,67466,362352
960,2,9337,91651,360599
961,1,6506,11224,207185
962,1796,5323,22153,98179
963,3,9867,88602,281950
964,367,12,60792,152796
965,3,3963,41680,296538
966,3,2222,42397,178992
967,4,7869,60930,79846
968,2,9884,65013,199325
969,1,8996,24637,292052
970,1,8720,3230,166246
971,1,1187,93138,152520
972,1,7223,14335,203179
973,1,9035,76378,98814
974,3,2279,77363,184801
975,30,5750,12166,280171
976,3,1316,84973,59848
977,22,5053,68890,224674
978,1,5916,5714,2288
979,7,3009,34327,141438
980,3,2965,68532,234465
981,3,8050,45821,335258
982,2,816,82112,122115
983,4,2315,77287,102854
984,1,1666,95825,78605
985,1,217,8364,337509
986,2,592,64672,144304
987,1,377,52626,346852
988,4,5647,19561,94980
989,1,3098,53488,317052
990,1,1951,83099,294018
991,1,2755,5486,7152
992,12,8168,83747,102533
993,1,2230,34299,90577
994,56,6939,18205,136086
995,6,9408,59144,190569
996,1,4724,3262,171250
997,2,1508,84149,145275
998,1,9791,48167,213914
999,5,8128,33517,26057
1000,7,8893,64612,109198
1001,1,4980,33182,195391
1002,1,5412,94969,34385
1003,1,7031,71955,281260
1004,5,6863,46392,269544
1005,1,4386,66412,103966
1006,12,9201,97179,119874
1007,5,5787,85841,286803
1008,150,2622,54591,259273
1009,1,6417,39285,271364
1010,1,2528,3841,347601
1011,15,7746,47831,275003
1012,2,8322,79817,152426
1013,1,6694,79965,294049
1014,1,4126,39423,127851
1015,32,7056,78259,362026
1016,1,8775,4152,186663
1017,1,5007,41829,31234
1018,1,523,78104,91682
1019,3,6569,60750,86605
1020,8,135,6703,240064
1021,1,2822,99374,316413
1022,10,9293,5988,245074
1023,2,8029,18597,309483
1024,1,5659,87420,329718
1025,407,79,31679,294770
1026,88,1040,55275,72199
1027,1,5754,14410,185781
1028,1,2174,90326,333461
1029,1,5628,3036,344947
1030,1,9214,12349,163396
1031,1,3719,8485,73018
1032,61,9776,34711,358498
1033,6,3810,29334,257673
1034,4,5417,24654,41246
1035,13,1648,14638,74573
1036,1,5777,75512,15306
1037,1,2734,52574,187680
1038,1,7549,34629,78113
1039,3,6231,24010,350140
1040,1,838,68626,190567
1041,2,8660,25224,290460
1042,7,5736,45687,153384
1043,1,1315,34019,331309
1044,9,672,79119,328105
1045,1,3804,42491,49161
1046,1,4988,45092,187423
1047,1,3604,90262,237899
1048,6,6847,17789,248464
1049,1,1764,54491,238881
1050,1,7247,32792,201994
1051,1,2301,11387,350120
1052,1,7793,49094,221868
1053,7,2733,99753,223034
1054,1,1664,22781,222464
1055,1,4220,68908,62143
1056,2,7243,51414,83773
1057,1,971,55561,299379
1058,1,9888,56556,126091
1059,1,3849,81064,313374
1060,1,1209,57125,259036
1061,134,5092,43987,17033
1062,7,9670,70760,74889
1063,73,2049,88760,219558
1064,2,1638,22708,112887
1065,1,3755,69602,291533
1066,3,631,40446,263236
1067,1,1482,86190,152963
1068,5,937,19039,193619
1069,4,3970,52526,156123
1070,1,2372,72480,92120
1071,12,3892,14034,129141
1072,1,7724,47424,194556
1073,2,7645,24223,317917
1074,4,1806,94154,173663
1075,1,398,98106,149547
